title,abstract,group,text,text_norm,cardiovascular,hepatorenal,neurological,oncological
Delayed toxicity of cyclophosphamide on the bladder of DBA/2 and C57BL/6 female mouse.,"The present study describes the delayed development of a severe bladder pathology in a susceptible strain of mice (DBA/2) but not in a resistant strain (C57BL/6) when both were treated with a single 300 mg/kg dose of cyclophosphamide (CY). Inbred DBA/2 and C57BL/6 female mice were injected with CY, and the effect of the drug on the bladder was assessed during 100 days by light microscopy using different staining procedures, and after 30 days by conventional electron microscopy. Early CY toxicity caused a typical haemorrhagic cystitis in both strains that was completely repaired in about 7-10 days. After 30 days of CY injection ulcerous and non-ulcerous forms of chronic cystitis appeared in 86% of DBA/2 mice but only in 4% of C57BL/6 mice. Delayed cystitis was characterized by infiltration and transepithelial passage into the lumen of inflammatory cells and by frequent exfoliation of the urothelium. Mast cells appeared in the connective and muscular layers of the bladder at a much higher number in DBA/2 mice than in C57BL/6 mice or untreated controls. Electron microscopy disclosed the absence of the typical discoidal vesicles normally present in the cytoplasm of surface cells. Instead, numerous abnormal vesicles containing one or several dark granules were observed in the cytoplasm of cells from all the epithelial layers. Delayed cystitis still persisted in DBA/2 mice 100 days after treatment. These results indicate that delayed toxicity of CY in female DBA/2 mice causes a bladder pathology that is not observed in C57BL/6 mice. This pathology resembles interstitial cystitis in humans and could perhaps be used as an animal model for studies on the disease.",neurological,"Delayed toxicity of cyclophosphamide on the bladder of DBA/2 and C57BL/6 female mouse. The present study describes the delayed development of a severe bladder pathology in a susceptible strain of mice (DBA/2) but not in a resistant strain (C57BL/6) when both were treated with a single 300 mg/kg dose of cyclophosphamide (CY). Inbred DBA/2 and C57BL/6 female mice were injected with CY, and the effect of the drug on the bladder was assessed during 100 days by light microscopy using different staining procedures, and after 30 days by conventional electron microscopy. Early CY toxicity caused a typical haemorrhagic cystitis in both strains that was completely repaired in about 7-10 days. After 30 days of CY injection ulcerous and non-ulcerous forms of chronic cystitis appeared in 86% of DBA/2 mice but only in 4% of C57BL/6 mice. Delayed cystitis was characterized by infiltration and transepithelial passage into the lumen of inflammatory cells and by frequent exfoliation of the urothelium. Mast cells appeared in the connective and muscular layers of the bladder at a much higher number in DBA/2 mice than in C57BL/6 mice or untreated controls. Electron microscopy disclosed the absence of the typical discoidal vesicles normally present in the cytoplasm of surface cells. Instead, numerous abnormal vesicles containing one or several dark granules were observed in the cytoplasm of cells from all the epithelial layers. Delayed cystitis still persisted in DBA/2 mice 100 days after treatment. These results indicate that delayed toxicity of CY in female DBA/2 mice causes a bladder pathology that is not observed in C57BL/6 mice. This pathology resembles interstitial cystitis in humans and could perhaps be used as an animal model for studies on the disease.","delayed toxicity of cyclophosphamide on the bladder of dba/2 and c57bl/6 female mouse. the present study describes the delayed development of a severe bladder pathology in a susceptible strain of mice (dba/2) but not in a resistant strain (c57bl/6) when both were treated with a single 300 mg/kg dose of cyclophosphamide (cy). inbred dba/2 and c57bl/6 female mice were injected with cy, and the effect of the drug on the bladder was assessed during 100 days by light microscopy using different staining procedures, and after 30 days by conventional electron microscopy. early cy toxicity caused a typical haemorrhagic cystitis in both strains that was completely repaired in about 7-10 days. after 30 days of cy injection ulcerous and non-ulcerous forms of chronic cystitis appeared in 86% of dba/2 mice but only in 4% of c57bl/6 mice. delayed cystitis was characterized by infiltration and transepithelial passage into the lumen of inflammatory cells and by frequent exfoliation of the urothelium. mast cells appeared in the connective and muscular layers of the bladder at a much higher number in dba/2 mice than in c57bl/6 mice or untreated controls. electron microscopy disclosed the absence of the typical discoidal vesicles normally present in the cytoplasm of surface cells. instead, numerous abnormal vesicles containing one or several dark granules were observed in the cytoplasm of cells from all the epithelial layers. delayed cystitis still persisted in dba/2 mice 100 days after treatment. these results indicate that delayed toxicity of cy in female dba/2 mice causes a bladder pathology that is not observed in c57bl/6 mice. this pathology resembles interstitial cystitis in humans and could perhaps be used as an animal model for studies on the disease.",0,0,1,0
Ischemic colitis and sumatriptan use.,"Sumatriptan succinate, a serotonin-1 (5-hydroxytryptamine-1) receptor agonist, is an antimigraine drug that is reported to act by selectively constricting intracranial arteries. Recently, vasopressor responses that are distinct from the cranial circulation have been demonstrated to occur in the systemic, pulmonary, and coronary circulations. Cases have been published of coronary vasospasm, myocardial ischemia, and myocardial infarction occurring after sumatriptan use. We report on the development of 8 serious cases of ischemic colitis in patients with migraine treated with sumatriptan.",cardiovascular,"Ischemic colitis and sumatriptan use. Sumatriptan succinate, a serotonin-1 (5-hydroxytryptamine-1) receptor agonist, is an antimigraine drug that is reported to act by selectively constricting intracranial arteries. Recently, vasopressor responses that are distinct from the cranial circulation have been demonstrated to occur in the systemic, pulmonary, and coronary circulations. Cases have been published of coronary vasospasm, myocardial ischemia, and myocardial infarction occurring after sumatriptan use. We report on the development of 8 serious cases of ischemic colitis in patients with migraine treated with sumatriptan.","ischemic colitis and sumatriptan use. sumatriptan succinate, a serotonin-1 (5-hydroxytryptamine-1) receptor agonist, is an antimigraine drug that is reported to act by selectively constricting intracranial arteries. recently, vasopressor responses that are distinct from the cranial circulation have been demonstrated to occur in the systemic, pulmonary, and coronary circulations. cases have been published of coronary vasospasm, myocardial ischemia, and myocardial infarction occurring after sumatriptan use. we report on the development of 8 serious cases of ischemic colitis in patients with migraine treated with sumatriptan.",1,0,0,0
Acute insulin treatment normalizes the resistance to the cardiotoxic effect of isoproterenol in streptozotocin diabetic rats. A morphometric study of isoproterenol induced myocardial fibrosis.,"The acute effect of insulin treatment on the earlier reported protective effect of streptozotocin diabetes against the cardiotoxic effect of high doses of isoproterenol (ISO) was investigated in rats. Thirty to 135 min after the injection of crystalline insulin, ISO was given subcutaneously and when ISO induced fibrosis in the myocardium was morphometrically analyzed 7 days later, a highly significant correlation (r = 0.83, 2 p = 0.006) to the slope of the fall in blood glucose after insulin treatment appeared. The myocardial content of catecholamines was estimated in these 8 day diabetic rats. The norepinephrine content was significantly increased while epinephrine remained unchanged. An enhanced sympathetic nervous system activity with a consequent down regulation of the myocardial beta-adrenergic receptors could, therefore, explain this catecholamine resistance. The rapid reversion after insulin treatment excludes the possibility that streptozotocin in itself causes the ISO resistance and points towards a direct insulin effect on myocardial catecholamine sensitivity in diabetic rats. The phenomenon described might elucidate pathogenetic mechanisms behind toxic myocardial cell degeneration and may possibly have relevance for acute cardiovascular complications in diabetic patients.",cardiovascular|neurological,"Acute insulin treatment normalizes the resistance to the cardiotoxic effect of isoproterenol in streptozotocin diabetic rats. A morphometric study of isoproterenol induced myocardial fibrosis. The acute effect of insulin treatment on the earlier reported protective effect of streptozotocin diabetes against the cardiotoxic effect of high doses of isoproterenol (ISO) was investigated in rats. Thirty to 135 min after the injection of crystalline insulin, ISO was given subcutaneously and when ISO induced fibrosis in the myocardium was morphometrically analyzed 7 days later, a highly significant correlation (r = 0.83, 2 p = 0.006) to the slope of the fall in blood glucose after insulin treatment appeared. The myocardial content of catecholamines was estimated in these 8 day diabetic rats. The norepinephrine content was significantly increased while epinephrine remained unchanged. An enhanced sympathetic nervous system activity with a consequent down regulation of the myocardial beta-adrenergic receptors could, therefore, explain this catecholamine resistance. The rapid reversion after insulin treatment excludes the possibility that streptozotocin in itself causes the ISO resistance and points towards a direct insulin effect on myocardial catecholamine sensitivity in diabetic rats. The phenomenon described might elucidate pathogenetic mechanisms behind toxic myocardial cell degeneration and may possibly have relevance for acute cardiovascular complications in diabetic patients.","acute insulin treatment normalizes the resistance to the cardiotoxic effect of isoproterenol in streptozotocin diabetic rats. a morphometric study of isoproterenol induced myocardial fibrosis. the acute effect of insulin treatment on the earlier reported protective effect of streptozotocin diabetes against the cardiotoxic effect of high doses of isoproterenol (iso) was investigated in rats. thirty to 135 min after the injection of crystalline insulin, iso was given subcutaneously and when iso induced fibrosis in the myocardium was morphometrically analyzed 7 days later, a highly significant correlation (r = 0.83, 2 p = 0.006) to the slope of the fall in blood glucose after insulin treatment appeared. the myocardial content of catecholamines was estimated in these 8 day diabetic rats. the norepinephrine content was significantly increased while epinephrine remained unchanged. an enhanced sympathetic nervous system activity with a consequent down regulation of the myocardial beta-adrenergic receptors could, therefore, explain this catecholamine resistance. the rapid reversion after insulin treatment excludes the possibility that streptozotocin in itself causes the iso resistance and points towards a direct insulin effect on myocardial catecholamine sensitivity in diabetic rats. the phenomenon described might elucidate pathogenetic mechanisms behind toxic myocardial cell degeneration and may possibly have relevance for acute cardiovascular complications in diabetic patients.",1,0,1,0
Metabotropic glutamate 7 receptor subtype modulates motor symptoms in rodent models of Parkinson's disease.,"Metabotropic glutamate (mGlu) receptors modulate synaptic transmission in the central nervous system and represent promising therapeutic targets for symptomatic treatment of Parkinson's disease (PD). Among the eight mGlu receptor subtypes, mGlu7 receptor is prominently expressed in the basal ganglia, but its role in restoring motor function in animal models of PD is not known. The effects of N,N'-dibenzhydrylethane-1,2-diamine dihydrochloride (AMN082), the first selective allosteric activator of mGlu7 receptors, were thus tested in different rodent models of PD. Here, we show that oral (5 mg/kg) or intrastriatal administration (0.1 and 0.5 nmol) of AMN082 reverses haloperidol-induced catalepsy in rats. AMN082 (2.5 and 5 mg/kg) reduces apomorphine-induced rotations in unilateral 6-hydroxydopamine (6-OHDA)-lesioned rats. In a more complex task commonly used to evaluate major akinetic symptoms of PD patients, 5 mg/kg AMN082 reverses the increased reaction time to respond to a cue of bilateral 6-OHDA-lesioned rats. In addition, AMN082 reduces the duration of haloperidol-induced catalepsy in a mGlu7 receptor-dependent manner in wild-type but not mGlu7 receptor knockout mice. Higher doses of AMN082 (10 and 20 mg/kg p.o.) have no effect on the same models of PD. Overall these findings suggest that mGlu7 receptor activation can reverse motor dysfunction associated with reduced dopamine activity. Selective ligands of mGlu7 receptor subtypes may thus be considered as promising compounds for the development of antiparkinsonian therapeutic strategies.",neurological,"Metabotropic glutamate 7 receptor subtype modulates motor symptoms in rodent models of Parkinson's disease. Metabotropic glutamate (mGlu) receptors modulate synaptic transmission in the central nervous system and represent promising therapeutic targets for symptomatic treatment of Parkinson's disease (PD). Among the eight mGlu receptor subtypes, mGlu7 receptor is prominently expressed in the basal ganglia, but its role in restoring motor function in animal models of PD is not known. The effects of N,N'-dibenzhydrylethane-1,2-diamine dihydrochloride (AMN082), the first selective allosteric activator of mGlu7 receptors, were thus tested in different rodent models of PD. Here, we show that oral (5 mg/kg) or intrastriatal administration (0.1 and 0.5 nmol) of AMN082 reverses haloperidol-induced catalepsy in rats. AMN082 (2.5 and 5 mg/kg) reduces apomorphine-induced rotations in unilateral 6-hydroxydopamine (6-OHDA)-lesioned rats. In a more complex task commonly used to evaluate major akinetic symptoms of PD patients, 5 mg/kg AMN082 reverses the increased reaction time to respond to a cue of bilateral 6-OHDA-lesioned rats. In addition, AMN082 reduces the duration of haloperidol-induced catalepsy in a mGlu7 receptor-dependent manner in wild-type but not mGlu7 receptor knockout mice. Higher doses of AMN082 (10 and 20 mg/kg p.o.) have no effect on the same models of PD. Overall these findings suggest that mGlu7 receptor activation can reverse motor dysfunction associated with reduced dopamine activity. Selective ligands of mGlu7 receptor subtypes may thus be considered as promising compounds for the development of antiparkinsonian therapeutic strategies.","metabotropic glutamate 7 receptor subtype modulates motor symptoms in rodent models of parkinson's disease. metabotropic glutamate (mglu) receptors modulate synaptic transmission in the central nervous system and represent promising therapeutic targets for symptomatic treatment of parkinson's disease (pd). among the eight mglu receptor subtypes, mglu7 receptor is prominently expressed in the basal ganglia, but its role in restoring motor function in animal models of pd is not known. the effects of n,n'-dibenzhydrylethane-1,2-diamine dihydrochloride (amn082), the first selective allosteric activator of mglu7 receptors, were thus tested in different rodent models of pd. here, we show that oral (5 mg/kg) or intrastriatal administration (0.1 and 0.5 nmol) of amn082 reverses haloperidol-induced catalepsy in rats. amn082 (2.5 and 5 mg/kg) reduces apomorphine-induced rotations in unilateral 6-hydroxydopamine (6-ohda)-lesioned rats. in a more complex task commonly used to evaluate major akinetic symptoms of pd patients, 5 mg/kg amn082 reverses the increased reaction time to respond to a cue of bilateral 6-ohda-lesioned rats. in addition, amn082 reduces the duration of haloperidol-induced catalepsy in a mglu7 receptor-dependent manner in wild-type but not mglu7 receptor knockout mice. higher doses of amn082 (10 and 20 mg/kg p.o.) have no effect on the same models of pd. overall these findings suggest that mglu7 receptor activation can reverse motor dysfunction associated with reduced dopamine activity. selective ligands of mglu7 receptor subtypes may thus be considered as promising compounds for the development of antiparkinsonian therapeutic strategies.",0,0,1,0
Molecular characterization of two galactosemia mutations and one polymorphism: implications for structure-function analysis of human galactose-1-phosphate uridyltransferase.,"We report here the molecular characterization of two galactosemia mutations , L74P and F171S , and one polymorphism , S135L , in human galactose-1-phosphate uridyltransferase ( GALT ) . Both galactosemia mutations result in reduced enzymatic activity when reconstructed in the cDNA and overexpressed . The polymorphism , in contrast , has near normal activity . Both mutations affect evolutionarily conserved residues , suggesting that they are functionally important , while the polymorphism occurs in a nonconserved domain which is presumably not critical for enzymatic function . The F171S mutation is close to the putative active-site nucleophile . Our data further support the notion of molecular heterogeneity of galactosemia and suggest that galactosemia mutations and GALT polymorphisms may be useful tools in highlighting different functional domains in human GALT . .",neurological,"Molecular characterization of two galactosemia mutations and one polymorphism: implications for structure-function analysis of human galactose-1-phosphate uridyltransferase. We report here the molecular characterization of two galactosemia mutations , L74P and F171S , and one polymorphism , S135L , in human galactose-1-phosphate uridyltransferase ( GALT ) . Both galactosemia mutations result in reduced enzymatic activity when reconstructed in the cDNA and overexpressed . The polymorphism , in contrast , has near normal activity . Both mutations affect evolutionarily conserved residues , suggesting that they are functionally important , while the polymorphism occurs in a nonconserved domain which is presumably not critical for enzymatic function . The F171S mutation is close to the putative active-site nucleophile . Our data further support the notion of molecular heterogeneity of galactosemia and suggest that galactosemia mutations and GALT polymorphisms may be useful tools in highlighting different functional domains in human GALT . .","molecular characterization of two galactosemia mutations and one polymorphism: implications for structure-function analysis of human galactose-1-phosphate uridyltransferase. we report here the molecular characterization of two galactosemia mutations , l74p and f171s , and one polymorphism , s135l , in human galactose-1-phosphate uridyltransferase ( galt ) . both galactosemia mutations result in reduced enzymatic activity when reconstructed in the cdna and overexpressed . the polymorphism , in contrast , has near normal activity . both mutations affect evolutionarily conserved residues , suggesting that they are functionally important , while the polymorphism occurs in a nonconserved domain which is presumably not critical for enzymatic function . the f171s mutation is close to the putative active-site nucleophile . our data further support the notion of molecular heterogeneity of galactosemia and suggest that galactosemia mutations and galt polymorphisms may be useful tools in highlighting different functional domains in human galt . .",0,0,1,0
The tia connection in peripheral artery disease,"Research question: How does metformin affect cancer through dementia mechanisms? Methods: randomized controlled study with 279 diabetic patients, assessing neural and multiple sclerosis. Results: enhanced therapeutic response. Implications: patient care improvement.",neurological,"The tia connection in peripheral artery disease Research question: How does metformin affect cancer through dementia mechanisms? Methods: randomized controlled study with 279 diabetic patients, assessing neural and multiple sclerosis. Results: enhanced therapeutic response. Implications: patient care improvement.","the tia connection in peripheral artery disease research question: how does metformin affect cancer through dementia mechanisms? methods: randomized controlled study with 279 diabetic patients, assessing neural and multiple sclerosis. results: enhanced therapeutic response. implications: patient care improvement.",0,0,1,0
Case-control study of regular analgesic and nonsteroidal anti-inflammatory use and end-stage renal disease.,"BACKGROUND: Studies on the association between the long-term use of aspirin and other analgesic and nonsteroidal anti-inflammatory drugs (NSAIDs) and end-stage renal disease (ESRD) have given conflicting results. In order to examine this association, a case-control study with incident cases of ESRD was carried out. METHODS: The cases were all patients entering the local dialysis program because of ESRD in the study area between June 1, 1995 and November 30, 1997. They were classified according to the underlying disease, which had presumably led them to ESRD. Controls were patients admitted to the same hospitals from where the cases arose, also matched by age and sex. Odds ratios were calculated using a conditional logistic model, including potential confounding factors, both for the whole study population and for the various underlying diseases. RESULTS: Five hundred and eighty-three cases and 1190 controls were included in the analysis. Long-term use of any analgesic was associated with an overall odds ratio of 1.22 (95% CI, 0.89-1.66). For specific groups of drugs, the risks were 1.56 (1.05-2.30) for aspirin, 1.03 (0.60-1.76) for pyrazolones, 0.80 (0.39-1.63) for paracetamol, and 0.94 (0.57-1.56) for nonaspirin NSAIDs. The risk of ESRD associated with aspirin was related to the cumulated dose and duration of use, and it was particularly high among the subset of patients with vascular nephropathy as underlying disease [2.35 (1.17-4.72)]. CONCLUSION: Our data indicate that long-term use of nonaspirin analgesic drugs and NSAIDs is not associated with an increased risk of ESRD. However, the chronic use of aspirin may increase the risk of ESRD.",hepatorenal,"Case-control study of regular analgesic and nonsteroidal anti-inflammatory use and end-stage renal disease. BACKGROUND: Studies on the association between the long-term use of aspirin and other analgesic and nonsteroidal anti-inflammatory drugs (NSAIDs) and end-stage renal disease (ESRD) have given conflicting results. In order to examine this association, a case-control study with incident cases of ESRD was carried out. METHODS: The cases were all patients entering the local dialysis program because of ESRD in the study area between June 1, 1995 and November 30, 1997. They were classified according to the underlying disease, which had presumably led them to ESRD. Controls were patients admitted to the same hospitals from where the cases arose, also matched by age and sex. Odds ratios were calculated using a conditional logistic model, including potential confounding factors, both for the whole study population and for the various underlying diseases. RESULTS: Five hundred and eighty-three cases and 1190 controls were included in the analysis. Long-term use of any analgesic was associated with an overall odds ratio of 1.22 (95% CI, 0.89-1.66). For specific groups of drugs, the risks were 1.56 (1.05-2.30) for aspirin, 1.03 (0.60-1.76) for pyrazolones, 0.80 (0.39-1.63) for paracetamol, and 0.94 (0.57-1.56) for nonaspirin NSAIDs. The risk of ESRD associated with aspirin was related to the cumulated dose and duration of use, and it was particularly high among the subset of patients with vascular nephropathy as underlying disease [2.35 (1.17-4.72)]. CONCLUSION: Our data indicate that long-term use of nonaspirin analgesic drugs and NSAIDs is not associated with an increased risk of ESRD. However, the chronic use of aspirin may increase the risk of ESRD.","case-control study of regular analgesic and nonsteroidal anti-inflammatory use and end-stage renal disease. background: studies on the association between the long-term use of aspirin and other analgesic and nonsteroidal anti-inflammatory drugs (nsaids) and end-stage renal disease (esrd) have given conflicting results. in order to examine this association, a case-control study with incident cases of esrd was carried out. methods: the cases were all patients entering the local dialysis program because of esrd in the study area between june 1, 1995 and november 30, 1997. they were classified according to the underlying disease, which had presumably led them to esrd. controls were patients admitted to the same hospitals from where the cases arose, also matched by age and sex. odds ratios were calculated using a conditional logistic model, including potential confounding factors, both for the whole study population and for the various underlying diseases. results: five hundred and eighty-three cases and 1190 controls were included in the analysis. long-term use of any analgesic was associated with an overall odds ratio of 1.22 (95% ci, 0.89-1.66). for specific groups of drugs, the risks were 1.56 (1.05-2.30) for aspirin, 1.03 (0.60-1.76) for pyrazolones, 0.80 (0.39-1.63) for paracetamol, and 0.94 (0.57-1.56) for nonaspirin nsaids. the risk of esrd associated with aspirin was related to the cumulated dose and duration of use, and it was particularly high among the subset of patients with vascular nephropathy as underlying disease [2.35 (1.17-4.72)]. conclusion: our data indicate that long-term use of nonaspirin analgesic drugs and nsaids is not associated with an increased risk of esrd. however, the chronic use of aspirin may increase the risk of esrd.",0,1,0,0
When deep vein thrombosis meets epilepsy: a neurological perspective,"Hypothesis: ACE inhibitors improves hypertension outcomes via ventricular tachycardia pathways. Methods: retrospective trial with 140 cancer patients, measuring reticular formation and pericardium. Results: positive treatment response. Conclusion: clinical relevance.",cardiovascular|neurological,"When deep vein thrombosis meets epilepsy: a neurological perspective Hypothesis: ACE inhibitors improves hypertension outcomes via ventricular tachycardia pathways. Methods: retrospective trial with 140 cancer patients, measuring reticular formation and pericardium. Results: positive treatment response. Conclusion: clinical relevance.","when deep vein thrombosis meets epilepsy: a neurological perspective hypothesis: ace inhibitors improves hypertension outcomes via ventricular tachycardia pathways. methods: retrospective trial with 140 cancer patients, measuring reticular formation and pericardium. results: positive treatment response. conclusion: clinical relevance.",1,0,1,0
MRI reveals diabetes mellitus secrets,"Hypothesis: aspirin improves hypertension outcomes via transient ischemic attack pathways. Methods: cross-sectional trial with 446 diabetic patients, measuring delirium and aphasia. Results: better quality of life measures. Conclusion: treatment optimization.",neurological,"MRI reveals diabetes mellitus secrets Hypothesis: aspirin improves hypertension outcomes via transient ischemic attack pathways. Methods: cross-sectional trial with 446 diabetic patients, measuring delirium and aphasia. Results: better quality of life measures. Conclusion: treatment optimization.","mri reveals diabetes mellitus secrets hypothesis: aspirin improves hypertension outcomes via transient ischemic attack pathways. methods: cross-sectional trial with 446 diabetic patients, measuring delirium and aphasia. results: better quality of life measures. conclusion: treatment optimization.",0,0,1,0
diuretics and dementia: brain insights,Study design: retrospective investigation of beta-blockers in heart disease. Participants: 345 elderly patients with cortical and palsy evaluation. Results: reduction in adverse events with gaba correlation. Conclusion: safety considerations.,neurological,diuretics and dementia: brain insights Study design: retrospective investigation of beta-blockers in heart disease. Participants: 345 elderly patients with cortical and palsy evaluation. Results: reduction in adverse events with gaba correlation. Conclusion: safety considerations.,diuretics and dementia: brain insights study design: retrospective investigation of beta-blockers in heart disease. participants: 345 elderly patients with cortical and palsy evaluation. results: reduction in adverse events with gaba correlation. conclusion: safety considerations.,0,0,1,0
"Complex glycerol kinase deficiency: molecular-genetic, cytogenetic, and clinical studies of five Japanese patients.","Five male Japanese patients with complex glycerol kinase deficiency ( CGKD ) and their relatives were studied clinically , cytogenetically , and molecular-genetically . All patients had muscular dystrophy or muscle weakness , mental retardation , congenital adrenal hypoplasia , and glycerol kinase deficiency . High-resolution GTG-banded chromosomes showed a microdeletion in the Xp21 region in all four patients examined and in all five mothers . Southern hybridizations , after digestions by restriction endonucleases , with various cloned DNAs ( D2 , 99-6 , B24 , C7 , L1-4 , cDMD13-14 , J66-HI , P20 , J-Bir , ERT87-30 , ERT87-15 , ERT87-8 , ERT87-1 , XJ-1 . 1 , 754 , cx5 . 7 , and OTC-1 ) that are located around Xp21 also showed a deletion in the genome of all patients and mothers . Although the deletion differed in size among patients , a segment commonly absent was located between the genomic sequences corresponding to L1-4 and cDMD13-14 . This finding indicated that the gene coding for glycerol kinase ( GK ) is located within this segment . A comparison of the clinical manifestations of the present five patients and reported CGKD or Duchenne muscular dystrophy ( DMD ) patients with DNA deletion suggests the existence of a certain gene responsible for gonadotropin deficiency ( GTD ) . The result of the present study and results of previous studies suggest that genes for ornithine transcarbamylase ( OTC ) , DMD , and GK and putative genes responsible for congenital adrenal hypoplasia ( AHC ) and GTD are arranged from telomere to centromere as pter--GTD--AHC--GK--DMD--OTC--cen",hepatorenal|neurological,"Complex glycerol kinase deficiency: molecular-genetic, cytogenetic, and clinical studies of five Japanese patients. Five male Japanese patients with complex glycerol kinase deficiency ( CGKD ) and their relatives were studied clinically , cytogenetically , and molecular-genetically . All patients had muscular dystrophy or muscle weakness , mental retardation , congenital adrenal hypoplasia , and glycerol kinase deficiency . High-resolution GTG-banded chromosomes showed a microdeletion in the Xp21 region in all four patients examined and in all five mothers . Southern hybridizations , after digestions by restriction endonucleases , with various cloned DNAs ( D2 , 99-6 , B24 , C7 , L1-4 , cDMD13-14 , J66-HI , P20 , J-Bir , ERT87-30 , ERT87-15 , ERT87-8 , ERT87-1 , XJ-1 . 1 , 754 , cx5 . 7 , and OTC-1 ) that are located around Xp21 also showed a deletion in the genome of all patients and mothers . Although the deletion differed in size among patients , a segment commonly absent was located between the genomic sequences corresponding to L1-4 and cDMD13-14 . This finding indicated that the gene coding for glycerol kinase ( GK ) is located within this segment . A comparison of the clinical manifestations of the present five patients and reported CGKD or Duchenne muscular dystrophy ( DMD ) patients with DNA deletion suggests the existence of a certain gene responsible for gonadotropin deficiency ( GTD ) . The result of the present study and results of previous studies suggest that genes for ornithine transcarbamylase ( OTC ) , DMD , and GK and putative genes responsible for congenital adrenal hypoplasia ( AHC ) and GTD are arranged from telomere to centromere as pter--GTD--AHC--GK--DMD--OTC--cen","complex glycerol kinase deficiency: molecular-genetic, cytogenetic, and clinical studies of five japanese patients. five male japanese patients with complex glycerol kinase deficiency ( cgkd ) and their relatives were studied clinically , cytogenetically , and molecular-genetically . all patients had muscular dystrophy or muscle weakness , mental retardation , congenital adrenal hypoplasia , and glycerol kinase deficiency . high-resolution gtg-banded chromosomes showed a microdeletion in the xp21 region in all four patients examined and in all five mothers . southern hybridizations , after digestions by restriction endonucleases , with various cloned dnas ( d2 , 99-6 , b24 , c7 , l1-4 , cdmd13-14 , j66-hi , p20 , j-bir , ert87-30 , ert87-15 , ert87-8 , ert87-1 , xj-1 . 1 , 754 , cx5 . 7 , and otc-1 ) that are located around xp21 also showed a deletion in the genome of all patients and mothers . although the deletion differed in size among patients , a segment commonly absent was located between the genomic sequences corresponding to l1-4 and cdmd13-14 . this finding indicated that the gene coding for glycerol kinase ( gk ) is located within this segment . a comparison of the clinical manifestations of the present five patients and reported cgkd or duchenne muscular dystrophy ( dmd ) patients with dna deletion suggests the existence of a certain gene responsible for gonadotropin deficiency ( gtd ) . the result of the present study and results of previous studies suggest that genes for ornithine transcarbamylase ( otc ) , dmd , and gk and putative genes responsible for congenital adrenal hypoplasia ( ahc ) and gtd are arranged from telomere to centromere as pter--gtd--ahc--gk--dmd--otc--cen",0,1,1,0
